iter	Passed	Remaining
325	1203	2487
326	1206	2482
327	1209	2478
328	1213	2474
329	1217	2470
330	1220	2466
331	1224	2463
332	1229	2463
333	1232	2458
334	1236	2454
335	1239	2449
336	1243	2446
337	1247	2442
338	1251	2440
339	1255	2436
340	1259	2433
341	1262	2429
342	1266	2425
343	1269	2421
344	1273	2417
345	1277	2414
346	1282	2412
347	1286	2409
348	1289	2405
349	1293	2403
350	1297	2398
351	1300	2394
352	1304	2391
353	1308	2387
354	1311	2383
355	1314	2377
356	1317	2373
357	1320	2368
358	1323	2363
359	1326	2358
360	1329	2354
361	1333	2350
362	1336	2345
363	1340	2341
364	1343	2336
365	1346	2331
366	1349	2327
367	1352	2323
368	1355	2318
369	1359	2313
370	1361	2309
371	1365	2305
372	1368	2300
373	1371	2296
374	1376	2293
375	1380	2290
376	1383	2285
377	1386	2281
378	1390	2278
379	1393	2273
380	1397	2269
381	1400	2265
382	1404	2261
383	1407	2258
384	1411	2254
385	1414	2250
386	1418	2246
387	1421	2242
388	1424	2237
389	1427	2233
390	1431	2228
391	1434	2225
392	1437	2220
393	1441	2217
394	1444	2213
395	1448	2208
396	1451	2205
397	1455	2201
398	1459	2198
399	1462	2193
400	1465	2189
401	1468	2184
402	1472	2180
403	1476	2177
404	1479	2173
405	1482	2168
406	1485	2164
407	1488	2160
408	1491	2155
409	1494	2151
410	1498	2147
411	1501	2143
412	1505	2139
413	1508	2135
414	1511	2130
415	1514	2126
416	1517	2122
417	1521	2118
418	1525	2114
419	1528	2110
420	1531	2106
421	1534	2102
422	1537	2097
423	1541	2093
424	1544	2089
425	1547	2084
426	1550	2080
427	1553	2076
428	1556	2071
429	1559	2066
430	1562	2063
431	1565	2058
432	1568	2054
433	1571	2049
434	1574	2045
435	1578	2041
436	1581	2037
437	1584	2032
438	1587	2028
439	1591	2024
440	1594	2021
441	1597	2016
442	1600	2012
443	1603	2008
444	1607	2004
445	1610	2000
446	1613	1996
447	1617	1992
448	1620	1989
449	1623	1984
450	1627	1980
451	1630	1976
452	1633	1972
453	1636	1968
454	1639	1964
455	1642	1959
456	1646	1955
457	1649	1951
458	1652	1947
459	1655	1943
460	1658	1938
461	1661	1935
462	1664	1930
463	1668	1927
464	1671	1923
465	1674	1918
466	1677	1914
467	1680	1910
468	1683	1906
469	1687	1902
470	1690	1898
471	1693	1894
472	1696	1890
473	1699	1886
474	1702	1882
475	1706	1878
476	1709	1873
477	1712	1869
478	1715	1865
479	1718	1861
480	1721	1857
481	1725	1854
482	1728	1850
483	1731	1845
484	1734	1842
485	1738	1838
486	1741	1834
487	1744	1830
488	1747	1825
489	1750	1822
490	1754	1818
491	1757	1814
492	1760	1810
493	1763	1806
494	1766	1802
495	1769	1798
496	1772	1793
497	1775	1789
498	1778	1785
499	1781	1781
500	1785	1778
501	1788	1774
502	1791	1770
503	1795	1766
504	1798	1762
505	1801	1758
506	1804	1754
507	1808	1751
508	1811	1747
509	1814	1743
510	1817	1738
511	1820	1734
512	1823	1731
513	1826	1727
514	1829	1722
515	1832	1719
516	1836	1715
517	1840	1712
518	1843	1708
519	1846	1704
520	1849	1700
521	1852	1696
522	1855	1692
523	1858	1688
524	1862	1684
525	1866	1682
526	1870	1678
527	1873	1674
528	1877	1671
529	1880	1667
530	1883	1663
531	1886	1659
532	1889	1655
533	1893	1652
534	1896	1647
535	1899	1644
536	1902	1640
537	1905	1636
538	1908	1632
539	1911	1628
540	1914	1624
541	1917	1620
542	1920	1616
543	1924	1613
544	1927	1609
545	1931	1606
546	1934	1602
547	1938	1598
548	1940	1594
549	1944	1590
550	1947	1587
551	1951	1583
552	1954	1579
553	1957	1576
554	1960	1571
555	1963	1568
556	1967	1564
557	1970	1560
558	1974	1557
559	1976	1553
560	1980	1550
561	1983	1546
562	1987	1542
563	1990	1538
564	1993	1534
565	1996	1531
566	1999	1527
567	2002	1523
568	2006	1519
569	2009	1515
570	2012	1511
571	2015	1508
572	2018	1504
573	2021	1500
574	2024	1496
575	2027	1492
576	2031	1489
577	2034	1485
578	2038	1481
579	2041	1478
580	2044	1474
581	2047	1470
582	2051	1467
583	2054	1463
584	2057	1459
585	2060	1455
586	2063	1451
587	2067	1448
588	2070	1444
589	2073	1440
590	2076	1436
591	2079	1433
592	2083	1429
593	2086	1426
594	2089	1422
595	2093	1418
596	2096	1415
597	2099	1411
598	2102	1407
599	2106	1404
600	2109	1400
601	2113	1396
602	2116	1393
603	2119	1389
604	2122	1385
605	2125	1382
606	2129	1378
607	2132	1374
608	2135	1371
609	2138	1367
610	2141	1363
611	2144	1359
612	2148	1356
613	2151	1352
614	2154	1348
615	2157	1344
616	2160	1341
617	2164	1337
618	2167	1333
619	2170	1330
620	2173	1326
621	2176	1322
622	2179	1318
623	2182	1315
624	2185	1311
625	2189	1307
626	2191	1303
627	2194	1300
628	2198	1296
629	2201	1293
630	2205	1289
631	2208	1285
632	2211	1282
633	2214	1278
634	2218	1275
635	2221	1271
636	2224	1267
637	2227	1263
638	2230	1260
639	2233	1256
640	2237	1252
641	2240	1249
642	2243	1245
643	2246	1241
644	2249	1237
645	2252	1234
646	2255	1230
647	2258	1226
648	2262	1223
649	2265	1220
650	2269	1216
651	2272	1212
652	2275	1209
653	2279	1205
654	2282	1202
655	2285	1198
656	2288	1194
657	2292	1191
658	2295	1187
659	2298	1184
660	2301	1180
661	2304	1176
662	2307	1173
663	2311	1169
664	2314	1165
665	2317	1162
666	2320	1158
667	2324	1155
668	2327	1151
669	2331	1148
670	2334	1144
671	2337	1141
672	2341	1137
673	2344	1134
674	2348	1130
675	2351	1127
676	2354	1123
677	2358	1120
678	2362	1116
679	2365	1113
680	2368	1109
681	2372	1106
682	2376	1102
683	2379	1099
684	2382	1095
685	2385	1092
686	2388	1088
687	2392	1085
688	2396	1081
689	2399	1078
690	2403	1074
691	2406	1071
692	2410	1068
693	2414	1064
694	2417	1060
695	2420	1057
696	2424	1053
697	2427	1050
698	2430	1046
699	2433	1042
700	2436	1039
701	2439	1035
702	2443	1032
703	2446	1028
704	2449	1025
705	2453	1021
706	2456	1017
707	2459	1014
708	2462	1010
709	2466	1007
710	2469	1003
711	2472	1000
712	2476	996
713	2479	993
714	2483	990
715	2487	986
716	2491	983
717	2494	979
718	2498	976
719	2501	972
720	2504	969
721	2508	965
722	2511	962
723	2515	958
724	2518	955
725	2521	951
726	2524	947
727	2527	944
728	2531	940
729	2534	937
730	2537	933
731	2540	930
732	2543	926
733	2546	922
734	2549	919
735	2553	915
736	2556	912
737	2560	908
738	2563	905
739	2566	901
740	2569	898
741	2572	894
742	2576	891
743	2579	887
744	2582	883
745	2585	880
746	2588	876
747	2592	873
748	2596	870
749	2599	866
750	2602	863
751	2606	859
752	2609	855
753	2612	852
754	2616	848
755	2618	845
756	2622	841
757	2625	838
758	2628	834
759	2632	831
760	2635	827
761	2639	824
762	2642	820
763	2645	817
764	2648	813
765	2651	809
766	2655	806
767	2658	802
768	2661	799
769	2664	795
770	2667	792
771	2671	788
772	2674	785
773	2677	781
774	2680	778
775	2684	774
776	2688	771
777	2691	767
778	2694	764
779	2697	760
780	2700	757
781	2703	753
782	2706	750
783	2710	746
784	2712	743
785	2716	739
786	2719	736
787	2723	732
788	2726	729
789	2729	725
790	2732	722
791	2735	718
792	2739	715
793	2742	711
794	2746	708
795	2749	704
796	2753	701
797	2756	697
798	2759	694
799	2762	690
800	2766	687
801	2769	683
802	2773	680
803	2776	676
804	2779	673
805	2782	669
806	2786	666
807	2790	663
808	2793	659
809	2797	656
810	2800	652
811	2803	649
812	2807	645
813	2810	642
814	2813	638
815	2817	635
816	2821	631
817	2824	628
818	2827	624
819	2831	621
820	2834	618
821	2838	614
822	2841	611
823	2844	607
824	2847	604
825	2851	600
826	2855	597
827	2858	593
828	2861	590
829	2864	586
830	2867	583
831	2871	579
832	2874	576
833	2877	572
834	2881	569
835	2884	565
836	2888	562
837	2891	559
838	2895	555
839	2898	552
840	2901	548
841	2905	545
842	2907	541
843	2911	538
844	2915	534
845	2918	531
846	2921	527
847	2925	524
848	2928	520
849	2932	517
850	2936	514
851	2940	510
852	2944	507
853	2957	505
854	2961	502
855	2965	498
856	2968	495
857	2972	491
858	2976	488
859	2979	485
860	2983	481
861	2989	478
862	2992	475
863	2996	471
864	2999	468
865	3002	464
866	3005	461
867	3009	457
868	3012	454
869	3015	450
870	3019	447
871	3022	443
872	3025	440
873	3028	436
874	3031	433
875	3035	429
876	3038	426
877	3041	422
878	3045	419
879	3047	415
880	3051	412
881	3054	408
882	3057	405
883	3060	401
884	3064	398
885	3067	394
886	3071	391
887	3074	387
888	3077	384
889	3080	380
890	3084	377
891	3087	373
892	3090	370
893	3093	366
894	3096	363
895	3100	359
896	3103	356
897	3107	352
898	3110	349
899	3114	346
900	3117	342
901	3121	339
902	3124	335
903	3127	332
904	3130	328
905	3134	325
906	3137	321
907	3141	318
908	3144	314
909	3147	311
910	3151	307
911	3154	304
912	3157	300
913	3161	297
914	3164	293
915	3168	290
916	3171	287
917	3174	283
918	3177	280
919	3180	276
920	3184	273
921	3188	269
922	3192	266
923	3195	262
924	3199	259
925	3202	255
926	3205	252
927	3209	249
928	3212	245
929	3216	242
930	3219	238
931	3223	235
932	3226	231
933	3229	228
934	3232	224
935	3235	221
936	3239	217
937	3242	214
938	3245	210
939	3249	207
940	3252	203
941	3255	200
942	3258	196
943	3262	193
944	3265	190
945	3268	186
946	3272	183
947	3275	179
948	3279	176
949	3282	172
950	3285	169
951	3289	165
952	3292	162
953	3295	158
954	3298	155
955	3301	151
956	3304	148
957	3308	145
958	3311	141
959	3314	138
960	3317	134
961	3320	131
962	3323	127
963	3326	124
964	3330	120
965	3333	117
966	3336	113
967	3339	110
968	3342	106
969	3345	103
970	3349	100
971	3351	96
972	3355	93
973	3358	89
974	3361	86
975	3364	82
976	3367	79
977	3370	75
978	3374	72
979	3377	68
980	3380	65
981	3383	62
982	3386	58
983	3390	55
984	3393	51
985	3396	48
986	3399	44
987	3402	41
988	3405	37
989	3408	34
990	3411	30
991	3414	27
992	3417	24
993	3421	20
994	3424	17
995	3427	13
996	3430	10
997	3433	6
998	3436	3
999	3439	0
